iter	RMSE
0	0.09525636937
1	0.09430221266
2	0.09312343499
3	0.09219582372
4	0.09104337591
5	0.0899677236
6	0.08891165378
7	0.08780025809
8	0.08672209168
9	0.08563806551
10	0.08458842445
11	0.08362473885
12	0.08264944332
13	0.08161632526
14	0.08059612118
15	0.07958866965
16	0.07859381126
17	0.07761138861
18	0.07666157608
19	0.07570330637
20	0.07467643836
21	0.07374298287
22	0.07282119557
23	0.07191093061
24	0.07083287117
25	0.06994746027
26	0.069073117
27	0.06814653605
28	0.06724337327
29	0.0664028311
30	0.06540424121
31	0.064628048
32	0.06366014606
33	0.06270073052
34	0.06170274629
35	0.06093146195
36	0.0599134252
37	0.05902324054
38	0.05828545002
39	0.05757569481
40	0.05671485222
41	0.05600591656
42	0.05530584259
43	0.05461451955
44	0.05393183804
45	0.05298391943
46	0.05232512041
47	0.05155637685
48	0.05091192213
49	0.05016283061
50	0.04942800892
51	0.0488101588
52	0.0482000318
53	0.04747879448
54	0.04688530954
55	0.04631351104
56	0.04560964661
57	0.04482159924
58	0.04426132924
59	0.04370806262
60	0.04316171183
61	0.04262219042
62	0.04199170594
63	0.0414668096
64	0.04094847448
65	0.04043661854
66	0.03974317783
67	0.0392463881
68	0.03875580825
69	0.03827136064
70	0.03769691269
71	0.03722570127
72	0.03676038
73	0.03630087524
74	0.03584711429
75	0.03539902536
76	0.03495653753
77	0.03451958081
78	0.03408808604
79	0.03366198496
80	0.03324121014
81	0.03282569501
82	0.03241537381
83	0.03201018164
84	0.03161005436
85	0.03121585836
86	0.03082566012
87	0.03044033937
88	0.03005983512
89	0.02968408717
90	0.02931303608
91	0.02894662312
92	0.02858479033
93	0.02822748044
94	0.02787463693
95	0.02752620397
96	0.02718212641
97	0.02684234983
98	0.02650682045
99	0.02617548519
100	0.02584829162
101	0.02552518797
102	0.02520612311
103	0.02489104657
104	0.02457990848
105	0.02427265962
106	0.02396925137
107	0.02366963573
108	0.02337376527
109	0.0230815932
110	0.02279307329
111	0.02250815986
112	0.02222680786
113	0.02194897276
114	0.0216746106
115	0.02140367796
116	0.02113613198
117	0.02087193033
118	0.02061103119
119	0.0203533933
120	0.02009897588
121	0.01984773868
122	0.01959964194
123	0.01935464641
124	0.01911271333
125	0.01887380441
126	0.01863788185
127	0.01840490832
128	0.01817484697
129	0.01794766138
130	0.01772331561
131	0.01750177416
132	0.01728300198
133	0.01706696445
134	0.01685362739
135	0.01664295704
136	0.01643492008
137	0.01622948357
138	0.01602661503
139	0.01582628234
140	0.0156284538
141	0.01543309813
142	0.0152401844
143	0.01504968209
144	0.01486156106
145	0.01467579155
146	0.01449234415
147	0.01431118984
148	0.01413229997
149	0.01395564622
150	0.01378120064
151	0.01360893563
152	0.01343882393
153	0.01327083863
154	0.01310495314
155	0.01294114122
156	0.01277937696
157	0.01261963474
158	0.01246188931
159	0.01230611569
160	0.01215228924
161	0.01200038562
162	0.0118503808
163	0.01170225104
164	0.0115559729
165	0.01141152323
166	0.01126887919
167	0.0111280182
168	0.01098891797
169	0.01085155649
170	0.01071591203
171	0.01058196313
172	0.01044968859
173	0.01031906748
174	0.01019007914
175	0.01006270314
176	0.009936919353
177	0.00981270786
178	0.009690049009
179	0.009568923395
180	0.009449311851
181	0.009331195451
182	0.009214555506
183	0.00909937356
184	0.008985631389
185	0.008873310995
186	0.008762394606
187	0.008652864672
188	0.008544703862
189	0.008437895062
190	0.008332421372
191	0.008228266104
192	0.008125412776
193	0.008023845114
194	0.007923547049
195	0.007824502709
196	0.007726696424
197	0.007630112717
198	0.007534736307
199	0.007440552102
200	0.007347545199
201	0.007255700883
202	0.00716500462
203	0.007075442061
204	0.006986999034
205	0.006899661545
206	0.006813415774
207	0.006728248076
208	0.006644144974
209	0.00656109316
210	0.006479079495
211	0.006398091
212	0.006318114861
213	0.006239138424
214	0.006161149193
215	0.006084134827
216	0.00600808314
217	0.0059329821
218	0.005858819822
219	0.005785584573
220	0.005713264765
221	0.005641848955
222	0.005571325842
223	0.005501684268
224	0.005432913213
225	0.005365001797
226	0.005297939274
227	0.005231715032
228	0.005166318593
229	0.005101739609
230	0.005037967863
231	0.004974993264
232	0.004912805847
233	0.004851395773
234	0.004790753325
235	0.004730868908
236	0.004671733046
237	0.004613336382
238	0.004555669676
239	0.004498723804
240	0.004442489756
241	0.004386958633
242	0.004332121649
243	0.004277970128
244	0.004224495501
245	0.004171689306
246	0.004119543189
247	0.004068048898
248	0.004017198286
249	0.003966983307
250	0.003917396015
251	0.003868428564
252	0.003820073206
253	0.00377232229
254	0.003725168261
255	0.003678603657
256	0.003632621111
257	0.003587213346
258	0.003542373179
259	0.003498093513
260	0.003454367344
261	0.003411187751
262	0.003368547904
263	0.003326441054
264	0.003284860541
265	0.003243799783
266	0.003203252285
267	0.003163211631
268	0.003123671485
269	0.003084625591
270	0.00304606777
271	0.003007991923
272	0.002970392023
273	0.002933262122
274	0.002896596345
275	0.00286038889
276	0.002824634029
277	0.002789326103
278	0.002754459526
279	0.002720028781
280	0.002686028421
281	0.002652453065
282	0.002619297402
283	0.002586556184
284	0.002554224231
285	0.002522296427
286	0.002490767722
287	0.002459633125
288	0.00242888771
289	0.002398526613
290	0.00236854503
291	0.002338938217
292	0.002309701489
293	0.00228083022
294	0.002252319842
295	0.002224165843
296	0.00219636377
297	0.002168909222
298	0.002141797856
299	0.002115025383
